Temperature,PWM,Time
25.28,0,1.21
25.32,0,1.81
25.29,0,2.41
25.31,0,3.02
25.33,0,3.62
25.32,0,4.23
25.32,0,4.83
25.32,0,5.43
25.3,0,6.04
25.29,0,6.64
25.27,0,7.25
25.27,0,7.85
25.26,0,8.45
25.26,0,9.06
25.26,0,9.66
25.26,255,10.27
25.24,255,10.87
25.24,255,11.48
25.24,255,12.08
25.22,255,12.68
25.22,255,13.29
25.22,255,13.89
25.22,255,14.5
25.21,255,15.1
25.26,255,15.71
25.39,255,16.31
25.7,255,16.92
26.22,255,17.52
26.81,255,18.12
27.34,239,18.73
27.76,226,19.33
28.26,210,19.94
28.63,198,20.54
29.11,183,21.15
29.73,164,21.75
30.28,147,22.36
30.91,127,22.96
31.48,110,23.57
31.96,95,24.17
32.27,85,24.77
32.64,74,25.38
33.05,61,25.98
33.55,45,26.59
33.94,33,27.19
34.26,23,27.8
34.56,14,28.4
34.9,3,29.01
35.16,5,29.61
35.43,13,30.22
35.66,21,30.82
35.86,27,31.42
36.06,33,32.03
36.2,37,32.63
36.26,39,33.24
36.28,40,33.84
36.3,40,34.45
36.27,40,35.05
36.21,38,35.66
36.12,35,36.26
36.04,32,36.87
35.96,30,37.47
35.86,27,38.07
35.74,23,38.68
35.65,20,39.28
35.54,17,39.89
35.44,14,40.49
35.44,14,41.1
35.28,9,41.7
35.12,4,42.31
34.96,1,42.91
34.81,6,43.51
34.65,11,44.12
34.49,16,44.72
34.35,20,45.33
34.22,24,45.93
34.09,28,46.54
33.97,32,47.14
33.85,36,47.75
33.73,40,48.35
33.62,43,48.95
33.53,46,49.56
33.44,49,50.16
33.36,51,50.77
33.26,54,51.37
33.15,58,51.98
33.1,59,52.58
33.05,61,53.19
33.05,61,53.79
33.09,60,54.39
33.12,59,55
33.18,57,55.6
33.29,53,56.21
33.37,51,56.81
33.47,48,57.42
33.56,45,58.02
33.65,42,58.63
33.79,38,59.23
33.93,33,59.84
34.1,28,60.44
34.15,26,61.04
34.15,26,61.65
34.31,21,62.25
34.45,17,62.86
34.58,13,63.46
34.77,7,64.07
34.93,2,64.67
35.11,3,65.27
35.19,6,65.88
35.28,9,66.48
35.4,12,67.09
35.47,15,67.69
35.52,16,68.3
35.54,17,68.9
35.56,17,69.51
35.56,17,70.11
35.54,17,70.71
35.48,15,71.32
35.42,13,71.92
35.33,10,72.53
35.24,7,73.13
35.14,4,73.74
35.03,1,74.34
34.9,3,74.95
34.81,6,75.55
34.67,10,76.15
34.54,14,76.76
34.43,18,77.36
34.32,21,77.97
34.21,25,78.57
34.11,28,79.18
34.02,31,79.78
33.93,33,80.39
33.87,35,80.99
33.78,38,81.6
33.72,40,82.2
33.65,42,82.8
33.59,44,83.41
33.56,45,84.01
33.51,46,84.62
33.46,48,85.22
33.42,49,85.83
33.4,50,86.43
33.42,49,87.04
33.46,48,87.64
33.51,46,88.25
33.57,45,88.85
33.65,42,89.45
33.75,39,90.06
33.82,37,90.66
33.95,33,91.27
34.03,30,91.87
34.15,26,92.48
34.25,23,93.08
34.37,20,93.68
34.46,17,94.29
34.59,13,94.89
34.7,9,95.5
34.82,6,96.1
34.91,3,96.71
34.97,1,97.31
35.06,2,97.92
35.15,5,98.52
35.19,6,99.12
35.24,7,99.73
35.26,8,100.33
35.26,8,100.94
35.26,8,101.54
35.23,7,102.15
35.21,7,102.75
35.17,5,103.36
35.11,3,103.96
35.04,1,104.56
34.99,0,105.17
34.91,3,105.77
34.81,6,106.38
34.72,9,106.98
34.63,12,107.59
34.52,15,108.19
34.43,18,108.8
34.34,21,109.4
34.23,24,110.01
34.13,27,110.61
34.04,30,111.21
33.97,32,111.82
33.88,35,112.42
33.84,36,113.03
33.77,38,113.63
33.72,40,114.24
33.69,41,114.84
33.68,41,115.45
33.65,42,116.05
33.62,43,116.66
33.68,41,117.26
33.69,41,117.86
33.7,40,118.47
33.76,39,119.07
33.82,37,119.68
33.87,35,120.28
33.96,32,120.89
34.04,30,121.49
34.13,27,122.1
34.2,25,122.7
34.3,22,123.3
34.37,20,123.91
34.51,15,124.51
34.55,14,125.12
34.65,11,125.72
34.72,9,126.33
34.8,6,126.93
34.85,5,127.54
34.9,3,128.14
34.96,1,128.75
34.98,1,129.35
35.05,2,129.96
35.04,1,130.56
35.04,1,131.16
35.03,1,131.77
35.01,0,132.37
34.99,0,132.98
34.94,2,133.58
34.9,3,134.19
34.83,5,134.79
34.76,7,135.4
34.69,10,136
34.62,12,136.6
34.53,15,137.21
34.46,17,137.81
34.36,20,138.42
34.27,23,139.02
34.17,26,139.63
34.09,28,140.23
34,31,140.84
33.93,33,141.44
33.87,35,142.04
33.8,37,142.65
33.76,39,143.25
33.7,40,143.86
33.65,42,144.46
33.62,43,145.07
33.6,44,145.67
33.61,43,146.28
33.62,43,146.88
33.67,41,147.48
33.7,40,148.09
33.76,39,148.69
33.82,37,149.3
33.89,35,149.9
33.97,32,150.51
34.04,30,151.11
34.1,28,151.72
34.16,26,152.32
34.27,23,152.93
34.34,21,153.53
34.41,18,154.13
34.45,17,154.74
34.56,14,155.34
34.63,12,155.95
34.72,9,156.55
34.78,7,157.16
34.87,4,157.76
34.93,2,158.37
35,0,158.97
35.09,3,159.58
35.13,4,160.18
35.15,5,160.78
35.15,5,161.39
35.15,5,161.99
35.13,4,162.6
35.12,4,163.2
35.08,2,163.81
35.04,1,164.41
34.99,0,165.02
34.93,2,165.62
34.85,5,166.22
34.76,7,166.83
34.67,10,167.43
34.58,13,168.04
34.5,16,168.64
34.4,19,169.25
34.29,22,169.85
34.2,25,170.46
34.1,28,171.06
34.01,31,171.66
33.93,33,172.27
33.86,36,172.87
33.79,38,173.48
33.71,40,174.08
33.69,41,174.69
33.64,42,175.29
33.62,43,175.9
33.61,43,176.5
33.6,44,177.11
33.6,44,177.71
33.62,43,178.31
33.68,41,178.92
33.73,40,179.52
33.77,38,180.13
33.86,36,180.73
33.93,33,181.34
34.01,31,181.94
