Temperature	PWM	Time	Set Temperature	T1	T2	T3	T4	T5
26.31	255	13.3	60	32.5	33.07	33.25	35.61	34.17
26.24	255	14.4	60	32.47	32.98	33.25	35.6	34.16
27.03	255	15.5	60	32.44	33.01	33.22	35.62	34.14
28.15	255	16.5	60	32.41	32.9	33.22	35.53	34.11
29.41	255	17.6	60	32.41	32.87	33.19	35.44	34.12
31	255	18.6	60	32.4	32.9	33.16	35.49	34.07
32.65	255	19.7	60	32.46	32.91	33.14	35.59	34.08
34.19	255	20.8	60	32.44	32.81	33.04	35.43	33.83
35.84	255	21.8	60	32.58	32.91	33.08	35.44	34.02
37.87	255	22.9	60	32.69	33.01	33.12	35.42	34
39.49	255	24	60	32.87	33.08	33.15	35.46	34.01
41.24	255	25	60	33	33.18	33.16	35.36	33.97
42.87	255	26.1	60	33.17	33.27	33.21	35.38	33.96
44.44	255	27.1	60	33.34	33.38	33.29	35.43	33.94
46.04	255	28.2	60	33.59	33.5	33.32	35.51	33.94
47.58	255	29.3	60	33.77	33.64	33.38	35.42	33.92
48.89	255	30.3	60	33.91	33.72	33.44	35.43	33.89
50.45	255	31.4	60	34.11	33.84	33.53	35.49	33.89
51.67	255	32.5	60	34.34	33.98	33.54	35.45	33.85
53	255	33.5	60	34.56	34.1	33.63	35.52	33.86
54.32	255	34.6	60	34.8	34.28	33.76	35.54	33.84
55.48	67	35.6	60	35	34.42	33.8	35.6	33.81
56.83	49	36.7	60	35.25	34.63	33.98	35.68	33.86
57.75	37	37.8	60	35.51	34.81	34.11	35.73	33.83
58.32	29	38.8	60	35.76	34.98	34.19	35.85	33.86
58.78	23	39.9	60	35.95	35.13	34.32	35.92	33.9
58.72	25	41	60	36.19	35.3	34.47	35.98	33.91
58.43	30	42	60	36.44	35.51	34.52	36.11	33.95
58.27	34	43.1	60	36.56	35.63	34.66	36.15	33.89
57.8	42	44.2	60	36.72	35.76	34.79	36.29	34.03
57.52	48	45.2	60	36.98	35.97	34.92	36.26	33.99
57.07	56	46.3	60	36.89	36.04	34.98	36.32	34.01
56.41	68	47.3	60	37.1	36.11	35.1	36.48	34.06
56.52	69	48.4	60	37.2	36.28	35.17	36.46	34.09
56.22	76	49.5	60	37.39	36.35	35.25	36.47	34.13
55.85	84	50.5	60	37.48	36.42	35.37	36.56	34.11
55.96	85	51.6	60	37.42	36.65	35.45	36.74	34.23
55.53	94	52.7	60	37.59	36.66	35.56	36.66	34.27
55.55	97	53.7	60	37.65	36.76	35.68	36.76	34.33
55.47	101	54.8	60	37.76	36.83	35.75	36.86	34.35
55.52	103	55.9	60	37.82	36.92	35.84	37.06	34.38
55.64	104	56.9	60	37.91	37	35.9	37.1	34.43
55.97	102	58	60	38.12	37.21	36.1	36.5	33.75
55.65	109	59.1	60	37.83	36.87	35.73	36.8	33.62
54.91	163	60.1	60	37.11	36.19	35.06	36.14	33.49
55.03	167	61.2	60	37.19	36.24	35.09	36.19	33.52
55.36	167	62.3	60	37.28	36.34	35.19	36.29	33.61
55.74	167	63.3	60	37.38	36.38	35.21	36.35	33.57
56.17	165	64.4	60	37.43	36.45	35.28	36.39	33.61
56.74	160	65.5	60	37.53	36.53	35.37	36.42	33.66
57.25	156	66.5	60	37.62	36.63	35.46	36.47	33.7
57.98	148	67.6	60	37.81	36.76	35.57	36.57	33.79
58.65	139	68.7	60	37.95	36.87	35.65	36.7	33.94
59.14	133	69.7	60	38.08	37	35.74	36.77	33.9
59.38	130	70.8	60	38.15	37	35.81	36.77	33.92
60.2	118	71.8	60	38.37	37.19	35.88	36.86	34.02
60.35	115	72.9	60	38.44	37.27	36.02	36.95	34.09
60.74	109	74	60	38.54	37.39	36.12	37.06	34.1
60.85	106	75.1	60	38.67	37.53	36.14	37.14	34.12
61.23	99	76.1	60	38.74	37.58	36.23	37.18	34.15
61.45	94	77.2	60	38.9	37.69	36.32	37.26	34.21
61.55	91	78.3	60	39	37.72	36.4	37.24	34.27
61.79	85	79.3	60	39.2	37.77	36.57	37.5	34.13
61.27	91	80.4	60	39.17	38.04	36.63	37.7	34.4
61.8	82	81.5	60	39.51	38.02	36.64	37.71	34.34
61.6	83	82.5	60	39.43	38.2	36.79	37.76	34.42
61.59	81	83.6	60	39.58	38.32	36.84	37.83	34.47
61.5	80	84.7	60	39.72	38.43	36.97	37.91	34.61
61.43	80	85.7	60	39.77	38.48	37	37.94	34.57
61.31	80	86.8	60	39.86	38.59	37.11	38	34.64
61.27	79	87.8	60	39.9	38.63	37.15	38.1	34.68
61.22	78	88.9	60	40.04	38.71	37.16	38.12	34.62
61.02	80	90	60	40.05	38.73	37.25	38.13	34.68
60.99	80	91	60	40.08	38.8	37.32	38.17	34.73
60.83	81	92.1	60	40.12	38.89	37.36	38.31	34.75
60.93	78	93.2	60	40.23	38.99	37.41	38.32	34.81
60.88	78	94.2	60	40.35	39.08	37.54	38.38	34.92
60.81	78	95.3	60	40.37	39.11	37.62	38.49	34.95
60.67	80	96.4	60	40.46	39.3	37.78	38.58	35.16
60.84	76	97.4	60	40.67	39.44	37.92	38.74	35.35
60.86	75	98.5	60	40.83	39.75	38.11	38.92	35.24
60.45	80	99.6	60	40.86	39.56	38.15	38.97	35.44
60.5	79	100.6	60	40.95	39.68	38.15	38.97	35.46
60.56	77	101.7	60	40.87	39.74	38.34	39.2	35.58
60.56	77	102.8	60	41.03	39.85	38.3	39.11	35.56
60.44	78	103.8	60	40.9	39.7	38.24	39.13	35.56
60.31	79	104.9	60	41.15	39.87	38.35	38.43	35.68
60.19	81	106	60	41.01	39.76	38.28	38.37	35.5
60.03	83	107	60	41	39.75	38.29	38.5	35.54
60.13	82	108.1	60	41.21	39.87	38.36	38.59	35.72
60.28	79	109.2	60	41.3	40.07	38.59	38.73	35.81
60.18	80	110.2	60	41.28	40.08	38.61	38.79	35.87
60.12	81	111.3	60	41.38	40.15	38.69	38.83	35.94
60.23	79	112.4	60	41.45	40.23	38.77	38.9	36
60.07	82	113.4	60	41.45	40.26	38.8	38.92	36.02
60.16	80	114.5	60	41.5	40.34	38.85	38.99	36.06
59.98	83	115.6	60	41.59	40.36	38.9	39.07	36.11
60.1	81	116.6	60	41.59	40.41	38.92	39.05	36.06
59.7	87	117.7	60	41.43	40.23	38.73	38.89	35.99
